,composition,Atoms,Ind Charges,reduced_formula,mp-id,icsd_id,Charge_prob_per_ele,Charge_prob,normalized_charge_prob,Intrastate,Interstate
0,Rb1Bi1Br4,"[1, 1, 4]","[[1], [3], [-1]]",RbBiBr4,[],[],"[1.0, 0.526, 0.881]",0.463406,1,TRUE,TRUE
1,Rb1Bi2Br7,"[1, 2, 7]","[[1], [3], [-1]]",RbBi2Br7,mp-1105176,[430594],"[1.0, 0.526, 0.881]",0.463406,1,TRUE,TRUE
2,Rb1Bi3Br10,"[1, 3, 10]","[[1], [3], [-1]]",RbBi3Br10,[],[],"[1.0, 0.526, 0.881]",0.463406,1,FALSE,FALSE
3,Rb1Bi4Br13,"[1, 4, 13]","[[1], [3], [-1]]",RbBi4Br13,[],[],"[1.0, 0.526, 0.881]",0.463406,1,FALSE,FALSE
4,Rb2Bi1Br5,"[2, 1, 5]","[[1], [3], [-1]]",Rb2BiBr5,[],[],"[1.0, 0.526, 0.881]",0.463406,1,TRUE,TRUE
5,Rb2Bi3Br11,"[2, 3, 11]","[[1], [3], [-1]]",Rb2Bi3Br11,[],[],"[1.0, 0.526, 0.881]",0.463406,1,TRUE,FALSE
6,Rb3Bi1Br6,"[3, 1, 6]","[[1], [3], [-1]]",Rb3BiBr6,mp-1114493,[2253],"[1.0, 0.526, 0.881]",0.463406,1,TRUE,TRUE
7,Rb3Bi2Br9,"[3, 2, 9]","[[1], [3], [-1]]",Rb3Bi2Br9,mp-1195363,[431320],"[1.0, 0.526, 0.881]",0.463406,1,TRUE,TRUE
8,Rb4Bi1Br7,"[4, 1, 7]","[[1], [3], [-1]]",Rb4BiBr7,[],[],"[1.0, 0.526, 0.881]",0.463406,1,FALSE,FALSE
9,Rb4Bi3Br13,"[4, 3, 13]","[[1], [3], [-1]]",Rb4Bi3Br13,[],[],"[1.0, 0.526, 0.881]",0.463406,1,TRUE,FALSE
10,Rb5Bi1Br8,"[5, 1, 8]","[[1], [3], [-1]]",Rb5BiBr8,[],[],"[1.0, 0.526, 0.881]",0.463406,1,FALSE,FALSE
