composition,Atoms,Ind Charges,ratio_1,ratio_2
Rb1Pb1Br3,"[1, 1, 3]","[[1], [2], [-1]]",1,1
Rb1Pb2Br5,"[1, 2, 5]","[[1], [2], [-1]]",1,2
Rb2Pb1Br4,"[2, 1, 4]","[[1], [2], [-1]]",2,1
Rb2Pb3Br8,"[2, 3, 8]","[[1], [2], [-1]]",2,3
Rb2Pb5Br12,"[2, 5, 12]","[[1], [2], [-1]]",2,5
Rb3Pb1Br5,"[3, 1, 5]","[[1], [2], [-1]]",3,1
Rb3Pb2Br7,"[3, 2, 7]","[[1], [2], [-1]]",3,2
Rb3Pb4Br11,"[3, 4, 11]","[[1], [2], [-1]]",3,4
Rb4Pb1Br6,"[4, 1, 6]","[[1], [2], [-1]]",4,1
Rb4Pb3Br10,"[4, 3, 10]","[[1], [2], [-1]]",4,3
Rb5Pb2Br9,"[5, 2, 9]","[[1], [2], [-1]]",5,2
Rb5Pb3Br11,"[5, 3, 11]","[[1], [2], [-1]]",5,3
Rb7Pb2Br11,"[7, 2, 11]","[[1], [2], [-1]]",7,2
